pH,conductivity,turbidity,turbidity_raw,temperature,time
7.54,83.48,516.9321152,830,12.25,2025-12-04T20:15:08
7.56,83.48,434.7441097,835,12.25,2025-12-04T20:15:19
7.55,83.62,533.2094418,829,12.19,2025-12-04T20:15:30
7.56,83.48,451.2885605,834,12.25,2025-12-04T20:15:41
7.54,83.48,484.2171875,832,12.25,2025-12-04T20:15:52
7.56,83.48,516.9321152,830,12.25,2025-12-04T20:16:03
7.54,83.48,516.9321152,830,12.25,2025-12-04T20:16:14
7.63,83.48,581.7208725,826,12.25,2025-12-04T20:16:25
7.59,83.48,484.2171875,832,12.25,2025-12-04T20:16:36
7.56,83.48,549.4333435,828,12.25,2025-12-04T20:16:47
7.58,83.48,451.2885605,834,12.25,2025-12-04T20:16:58
7.54,83.48,451.2885605,834,12.25,2025-12-04T20:17:09
7.64,83.48,533.2094418,829,12.25,2025-12-04T20:17:20
7.6,83.62,533.2094418,829,12.19,2025-12-04T20:17:31
7.54,83.34,451.2885605,834,12.31,2025-12-04T20:17:42
7.64,83.48,565.6038204,827,12.25,2025-12-04T20:17:53
7.64,83.48,467.7795864,833,12.25,2025-12-04T20:18:04
7.53,83.48,533.2094418,829,12.25,2025-12-04T20:18:15
7.55,83.48,516.9321152,830,12.25,2025-12-04T20:18:26
7.54,83.48,533.2094418,829,12.25,2025-12-04T20:18:37
7.53,83.48,533.2094418,829,12.25,2025-12-04T20:18:48
7.64,83.48,533.2094418,829,12.25,2025-12-04T20:18:59
7.64,83.48,533.2094418,829,12.25,2025-12-04T20:19:10
7.53,83.48,467.7795864,833,12.25,2025-12-04T20:19:20
7.65,83.48,451.2885605,834,12.25,2025-12-04T20:19:31
7.64,83.48,467.7795864,833,12.25,2025-12-04T20:19:42
7.64,83.48,484.2171875,832,12.25,2025-12-04T20:19:53
7.63,83.48,467.7795864,833,12.25,2025-12-04T20:20:04
7.53,83.48,500.6013638,831,12.25,2025-12-04T20:20:15
7.54,83.48,516.9321152,830,12.25,2025-12-04T20:20:26
7.64,83.48,516.9321152,830,12.25,2025-12-04T20:20:37
7.64,83.48,467.7795864,833,12.25,2025-12-04T20:20:48
7.64,83.48,451.2885605,834,12.25,2025-12-04T20:20:59
7.64,83.48,451.2885605,834,12.25,2025-12-04T20:21:10
7.63,83.48,467.7795864,833,12.25,2025-12-04T20:21:21
7.54,83.62,549.4333435,828,12.19,2025-12-04T20:21:32
7.56,83.48,500.6013638,831,12.25,2025-12-04T20:21:43
7.54,83.34,516.9321152,830,12.31,2025-12-04T20:21:54
7.54,83.34,484.2171875,832,12.31,2025-12-04T20:22:05
7.53,83.48,533.2094418,829,12.25,2025-12-04T20:22:16
7.64,83.48,451.2885605,834,12.25,2025-12-04T20:22:27
7.54,83.34,565.6038204,827,12.31,2025-12-04T20:22:38
7.64,83.48,549.4333435,828,12.25,2025-12-04T20:22:49
7.64,83.48,516.9321152,830,12.25,2025-12-04T20:23:00
7.53,83.48,484.2171875,832,12.25,2025-12-04T20:23:11
7.54,83.48,467.7795864,833,12.25,2025-12-04T20:23:22
7.53,83.48,500.6013638,831,12.25,2025-12-04T20:23:33
7.64,83.34,434.7441097,835,12.31,2025-12-04T20:23:44
7.64,83.48,434.7441097,835,12.25,2025-12-04T20:23:55
7.61,83.48,516.9321152,830,12.25,2025-12-04T20:24:06
7.53,83.48,549.4333435,828,12.25,2025-12-04T20:24:17
7.54,83.48,549.4333435,828,12.25,2025-12-04T20:24:28
7.53,83.48,533.2094418,829,12.25,2025-12-04T20:24:39
7.64,83.48,565.6038204,827,12.25,2025-12-04T20:24:50
