pH,conductivity,turbidity,turbidity_raw,temperature,time
7.68,86.74,0,876,13.06,2025-12-04T17:20:01
7.7,86.74,0,876,13.06,2025-12-04T17:20:11
7.72,86.89,0,876,13,2025-12-04T17:20:22
7.69,86.89,0,876,13,2025-12-04T17:20:32
7.68,86.89,0,876,13,2025-12-04T17:20:42
7.69,86.89,0,876,13,2025-12-04T17:20:52
7.68,84.22,0,876,13.06,2025-12-04T17:21:03
7.71,86.89,0,876,13,2025-12-04T17:21:13
7.68,86.89,0,876,13,2025-12-04T17:21:23
7.73,84.36,0,876,13,2025-12-04T17:21:33
7.72,86.89,0,876,13,2025-12-04T17:21:43
7.71,84.36,0,876,13,2025-12-04T17:21:54
7.69,86.89,0,876,13,2025-12-04T17:22:04
7.69,84.36,0,877,13,2025-12-04T17:22:14
7.71,86.89,0,876,13,2025-12-04T17:22:24
7.72,84.36,0,876,13,2025-12-04T17:22:35
7.73,86.89,0,876,13,2025-12-04T17:22:45
7.72,84.36,0,876,13,2025-12-04T17:22:55
7.69,86.89,0,876,13,2025-12-04T17:23:05
7.73,84.36,0,876,13,2025-12-04T17:23:15
7.69,84.36,0,876,13,2025-12-04T17:23:26
7.7,84.36,0,876,13,2025-12-04T17:23:36
7.73,86.89,0,876,13,2025-12-04T17:23:46
7.73,84.36,0,876,13,2025-12-04T17:23:56
7.68,84.36,0,876,13,2025-12-04T17:24:07
7.69,84.36,0,876,13,2025-12-04T17:24:17
7.68,84.36,0,876,13,2025-12-04T17:24:27
7.72,84.36,0,876,13,2025-12-04T17:24:37
7.7,86.89,0,876,13,2025-12-04T17:24:47
7.68,84.36,0,876,13,2025-12-04T17:24:58
7.69,86.89,0,876,13,2025-12-04T17:25:08
7.7,84.36,0,876,13,2025-12-04T17:25:18
7.69,86.89,0,876,13,2025-12-04T17:25:28
7.69,84.36,0,876,13,2025-12-04T17:25:39
7.68,84.36,0,876,13,2025-12-04T17:25:49
7.68,84.36,0,876,13,2025-12-04T17:25:59
7.68,84.5,0,876,12.94,2025-12-04T17:26:09
7.68,84.36,0,877,13,2025-12-04T17:26:19
7.69,84.36,0,876,13,2025-12-04T17:26:30
7.68,84.36,0,876,13,2025-12-04T17:26:40
7.68,84.36,0,877,13,2025-12-04T17:26:50
7.68,84.36,0,877,13,2025-12-04T17:27:00
7.7,84.36,0,877,13,2025-12-04T17:27:11
7.71,84.5,0,877,12.94,2025-12-04T17:27:21
7.7,84.5,0,876,12.94,2025-12-04T17:27:31
7.68,84.36,0,877,13,2025-12-04T17:27:41
7.7,84.36,0,877,13,2025-12-04T17:27:51
7.69,84.5,0,876,12.94,2025-12-04T17:28:02
7.69,84.5,0,877,12.94,2025-12-04T17:28:12
7.71,84.36,0,876,13,2025-12-04T17:28:22
7.7,84.36,0,876,13,2025-12-04T17:28:32
7.7,84.5,0,876,12.94,2025-12-04T17:28:43
7.7,84.36,0,877,13,2025-12-04T17:28:53
7.69,84.36,0,876,13,2025-12-04T17:29:03
7.71,84.36,0,876,13,2025-12-04T17:29:13
7.67,84.36,0,876,13,2025-12-04T17:29:23
7.67,84.36,0,876,13,2025-12-04T17:29:34
7.71,84.36,0,877,13,2025-12-04T17:29:44
7.7,84.5,0,877,12.94,2025-12-04T17:29:54
7.7,84.36,0,877,13,2025-12-04T17:30:04
7.71,84.5,0,876,12.94,2025-12-04T17:30:15
7.7,84.5,0,876,12.94,2025-12-04T17:30:25
7.71,84.36,0,876,13,2025-12-04T17:30:35
7.72,84.36,0,876,13,2025-12-04T17:30:45
7.7,84.36,0,876,13,2025-12-04T17:30:55
7.69,84.5,0,876,12.94,2025-12-04T17:31:06
7.68,84.5,0,877,12.94,2025-12-04T17:31:16
7.69,84.36,0,876,13,2025-12-04T17:31:26
7.68,84.36,0,876,13,2025-12-04T17:31:36
7.7,84.5,0,876,12.94,2025-12-04T17:31:47
7.68,84.5,0,877,12.94,2025-12-04T17:31:57
7.68,84.36,0,876,13,2025-12-04T17:32:07
7.69,84.36,0,876,13,2025-12-04T17:32:17
7.69,84.36,0,876,13,2025-12-04T17:32:27
7.69,84.5,0,876,12.94,2025-12-04T17:32:38
7.7,84.5,0,877,12.94,2025-12-04T17:32:48
7.7,84.5,0,876,12.94,2025-12-04T17:32:58
7.68,84.5,0,876,12.94,2025-12-04T17:33:08
7.68,84.36,0,877,13,2025-12-04T17:33:19
7.68,84.36,0,877,13,2025-12-04T17:33:29
7.69,84.5,0,876,12.94,2025-12-04T17:33:39
7.7,84.5,0,877,12.94,2025-12-04T17:33:49
7.71,84.5,0,876,12.94,2025-12-04T17:33:59
7.69,84.36,0,877,13,2025-12-04T17:34:10
7.69,84.5,0,877,12.94,2025-12-04T17:34:20
7.7,84.5,0,876,12.94,2025-12-04T17:34:30
7.7,84.5,0,876,12.94,2025-12-04T17:34:40
7.72,84.5,0,876,12.94,2025-12-04T17:34:50
7.7,84.5,0,877,12.94,2025-12-04T17:35:01
7.69,84.5,0,877,12.94,2025-12-04T17:35:11
7.71,84.5,0,876,12.94,2025-12-04T17:35:21
7.71,84.36,0,877,13,2025-12-04T17:35:31
7.7,84.5,0,877,12.94,2025-12-04T17:35:42
7.7,84.5,0,876,12.94,2025-12-04T17:35:52
7.7,84.5,0,877,12.94,2025-12-04T17:36:02
7.7,84.5,0,877,12.94,2025-12-04T17:36:12
7.7,84.5,0,877,12.94,2025-12-04T17:36:22
7.69,84.5,0,877,12.94,2025-12-04T17:36:33
7.71,84.5,0,877,12.94,2025-12-04T17:36:43
7.71,84.5,0,876,12.94,2025-12-04T17:36:53
7.71,84.5,0,876,12.94,2025-12-04T17:37:03
7.7,84.5,0,876,12.94,2025-12-04T17:37:14
7.69,84.5,0,877,12.94,2025-12-04T17:37:24
7.7,84.5,0,876,12.94,2025-12-04T17:37:34
7.7,84.5,0,877,12.94,2025-12-04T17:37:44
7.71,84.5,0,876,12.94,2025-12-04T17:37:54
7.71,84.5,0,877,12.94,2025-12-04T17:38:05
7.71,84.5,0,877,12.94,2025-12-04T17:38:15
7.71,84.5,0,877,12.94,2025-12-04T17:38:25
7.69,84.5,0,877,12.94,2025-12-04T17:38:35
7.7,84.5,0,877,12.94,2025-12-04T17:38:46
7.7,84.5,0,877,12.94,2025-12-04T17:38:56
7.71,84.5,0,876,12.94,2025-12-04T17:39:06
7.7,84.5,0,876,12.94,2025-12-04T17:39:16
7.71,84.5,0,877,12.94,2025-12-04T17:39:26
7.7,84.5,0,877,12.94,2025-12-04T17:39:37
7.7,84.64,0,877,12.88,2025-12-04T17:39:47
7.7,84.5,0,877,12.94,2025-12-04T17:39:57
7.68,84.5,0,877,12.94,2025-12-04T17:40:07
7.69,84.5,0,877,12.94,2025-12-04T17:40:18
7.7,84.5,0,877,12.94,2025-12-04T17:40:28
7.68,84.5,0,877,12.94,2025-12-04T17:40:38
7.68,84.5,0,877,12.94,2025-12-04T17:40:48
7.69,84.5,0,877,12.94,2025-12-04T17:40:58
7.69,84.5,0,876,12.94,2025-12-04T17:41:09
7.68,84.5,0,877,12.94,2025-12-04T17:41:19
7.69,84.5,0,877,12.94,2025-12-04T17:41:29
7.69,84.5,0,877,12.94,2025-12-04T17:41:39
7.69,84.5,0,877,12.94,2025-12-04T17:41:50
7.68,84.5,0,877,12.94,2025-12-04T17:42:00
7.69,84.5,0,877,12.94,2025-12-04T17:42:10
7.69,84.5,0,877,12.94,2025-12-04T17:42:20
7.69,84.5,0,877,12.94,2025-12-04T17:42:30
7.68,84.5,0,876,12.94,2025-12-04T17:42:41
7.68,84.5,0,877,12.94,2025-12-04T17:42:51
7.68,84.5,0,876,12.94,2025-12-04T17:43:01
7.69,84.5,0,877,12.94,2025-12-04T17:43:11
7.67,84.5,0,877,12.94,2025-12-04T17:43:22
7.68,84.5,0,876,12.94,2025-12-04T17:43:32
7.68,84.5,0,877,12.94,2025-12-04T17:43:42
7.68,84.5,0,877,12.94,2025-12-04T17:43:52
7.69,84.5,0,877,12.94,2025-12-04T17:44:03
7.69,84.5,0,877,12.94,2025-12-04T17:44:13
7.68,84.5,0,877,12.94,2025-12-04T17:44:23
7.67,84.5,0,877,12.94,2025-12-04T17:44:33
7.67,84.5,0,876,12.94,2025-12-04T17:44:43
7.69,84.5,0,877,12.94,2025-12-04T17:44:54
7.69,84.5,0,876,12.94,2025-12-04T17:45:04
7.67,84.5,0,876,12.94,2025-12-04T17:45:14
7.68,84.5,0,877,12.94,2025-12-04T17:45:24
7.69,84.5,0,876,12.94,2025-12-04T17:45:35
7.67,84.5,0,877,12.94,2025-12-04T17:45:45
7.68,84.5,0,877,12.94,2025-12-04T17:45:56
7.67,84.5,0,877,12.94,2025-12-04T17:46:06
7.69,84.5,0,877,12.94,2025-12-04T17:46:16
7.68,84.5,0,876,12.94,2025-12-04T17:46:26
7.67,84.5,0,876,12.94,2025-12-04T17:46:36
7.68,84.5,0,877,12.94,2025-12-04T17:46:47
7.69,84.5,0,876,12.94,2025-12-04T17:46:57
7.68,84.5,0,876,12.94,2025-12-04T17:47:07
7.67,84.5,0,877,12.94,2025-12-04T17:47:17
7.69,84.5,0,876,12.94,2025-12-04T17:47:28
7.67,84.5,0,876,12.94,2025-12-04T17:47:38
7.69,84.5,0,876,12.94,2025-12-04T17:47:48
7.67,84.5,0,877,12.94,2025-12-04T17:47:58
7.68,84.5,0,876,12.94,2025-12-04T17:48:08
7.67,84.5,0,877,12.94,2025-12-04T17:48:19
7.67,84.5,0,877,12.94,2025-12-04T17:48:29
7.69,84.5,0,876,12.94,2025-12-04T17:48:39
7.69,84.5,0,877,12.94,2025-12-04T17:48:49
7.67,84.5,0,876,12.94,2025-12-04T17:49:00
7.69,84.5,0,876,12.94,2025-12-04T17:49:10
7.68,84.5,0,876,12.94,2025-12-04T17:49:20
7.68,84.5,0,877,12.94,2025-12-04T17:49:30
7.67,84.5,0,877,12.94,2025-12-04T17:49:40
7.67,84.5,0,877,12.94,2025-12-04T17:49:51
7.68,84.5,0,876,12.94,2025-12-04T17:50:01
7.67,84.5,0,877,12.94,2025-12-04T17:50:11
7.67,84.5,0,877,12.94,2025-12-04T17:50:21
7.67,84.5,0,877,12.94,2025-12-04T17:50:32
7.69,84.5,0,877,12.94,2025-12-04T17:50:42
7.67,84.5,0,876,12.94,2025-12-04T17:50:52
7.67,84.5,0,877,12.94,2025-12-04T17:51:02
7.66,84.5,0,877,12.94,2025-12-04T17:51:13
7.68,84.5,0,876,12.94,2025-12-04T17:51:23
7.68,84.64,0,876,12.88,2025-12-04T17:51:33
7.68,84.5,0,876,12.94,2025-12-04T17:51:43
7.68,84.5,0,877,12.94,2025-12-04T17:51:53
7.68,84.5,0,877,12.94,2025-12-04T17:52:04
7.68,84.5,0,877,12.94,2025-12-04T17:52:14
7.68,84.5,0,877,12.94,2025-12-04T17:52:24
7.68,84.5,0,877,12.94,2025-12-04T17:52:34
7.67,84.5,0,877,12.94,2025-12-04T17:52:44
7.68,84.5,0,877,12.94,2025-12-04T17:52:55
7.68,84.5,0,877,12.94,2025-12-04T17:53:05
7.67,84.5,0,877,12.94,2025-12-04T17:53:15
7.68,84.5,0,877,12.94,2025-12-04T17:53:25
7.68,84.5,0,877,12.94,2025-12-04T17:53:36
7.68,84.5,0,877,12.94,2025-12-04T17:53:46
7.68,84.5,0,877,12.94,2025-12-04T17:53:56
7.67,84.5,0,876,12.94,2025-12-04T17:54:06
7.68,84.5,0,876,12.94,2025-12-04T17:54:17
7.67,84.64,0,877,12.88,2025-12-04T17:54:27
7.68,84.64,0,876,12.88,2025-12-04T17:54:37
7.68,84.5,0,877,12.94,2025-12-04T17:54:47
7.67,84.64,0,877,12.88,2025-12-04T17:54:57
7.69,84.5,0,877,12.94,2025-12-04T17:55:08
7.68,84.5,0,877,12.94,2025-12-04T17:55:18
7.68,84.5,0,877,12.94,2025-12-04T17:55:28
7.68,84.64,0,877,12.88,2025-12-04T17:55:38
7.67,84.5,0,876,12.94,2025-12-04T17:55:49
7.67,84.64,0,877,12.88,2025-12-04T17:55:59
7.68,84.5,0,876,12.94,2025-12-04T17:56:09
7.67,84.5,0,877,12.94,2025-12-04T17:56:19
7.67,84.5,0,877,12.94,2025-12-04T17:56:29
7.67,84.5,0,877,12.94,2025-12-04T17:56:40
7.67,84.64,0,877,12.88,2025-12-04T17:56:50
7.68,84.5,0,877,12.94,2025-12-04T17:57:00
7.68,84.5,0,877,12.94,2025-12-04T17:57:10
7.68,84.5,0,877,12.94,2025-12-04T17:57:21
7.68,84.64,0,877,12.88,2025-12-04T17:57:31
7.67,84.64,0,877,12.88,2025-12-04T17:57:41
7.67,84.5,0,877,12.94,2025-12-04T17:57:51
7.66,84.64,0,876,12.88,2025-12-04T17:58:01
7.66,84.64,0,877,12.88,2025-12-04T17:58:12
7.67,84.64,0,877,12.88,2025-12-04T17:58:22
7.67,84.5,0,877,12.94,2025-12-04T17:58:32
7.69,84.5,0,877,12.94,2025-12-04T17:58:42
7.67,84.64,0,877,12.88,2025-12-04T17:58:53
7.67,84.5,0,877,12.94,2025-12-04T17:59:03
7.68,84.5,0,876,12.94,2025-12-04T17:59:13
7.67,84.64,0,877,12.88,2025-12-04T17:59:23
7.67,84.64,0,877,12.88,2025-12-04T17:59:33
7.67,84.64,0,876,12.88,2025-12-04T17:59:44
7.66,84.5,0,877,12.94,2025-12-04T17:59:54
7.67,84.5,0,877,12.94,2025-12-04T18:00:04
7.66,84.64,0,877,12.88,2025-12-04T18:00:14
7.67,84.64,0,877,12.88,2025-12-04T18:00:25
7.67,84.64,0,875,12.88,2025-12-04T18:00:35
7.66,84.64,0,877,12.88,2025-12-04T18:00:45
7.67,84.64,0,876,12.88,2025-12-04T18:00:55
7.68,84.5,0,877,12.94,2025-12-04T18:01:05
7.66,84.5,0,877,12.94,2025-12-04T18:01:16
7.68,84.64,0,877,12.88,2025-12-04T18:01:26
7.66,84.64,0,876,12.88,2025-12-04T18:01:36
7.68,84.5,0,877,12.94,2025-12-04T18:01:46
7.67,84.5,0,877,12.94,2025-12-04T18:01:57
7.66,84.64,0,877,12.88,2025-12-04T18:02:07
7.67,84.5,0,877,12.94,2025-12-04T18:02:17
