pH,conductivity,turbidity,turbidity_raw,temperature,time
7.63,79.44,3000,525,12.63,2025-12-04T22:15:08
7.63,79.44,3000,524,12.63,2025-12-04T22:15:18
7.63,79.44,3000,526,12.63,2025-12-04T22:15:28
7.63,79.44,3000,526,12.63,2025-12-04T22:15:38
7.64,79.44,3000,525,12.63,2025-12-04T22:15:48
7.63,92.352,3000,525,12.69,2025-12-04T22:15:59
7.63,79.44,3000,526,12.63,2025-12-04T22:16:09
7.63,79.296,3000,526,12.69,2025-12-04T22:16:19
7.64,79.44,3000,526,12.63,2025-12-04T22:16:29
7.64,79.296,3000,525,12.69,2025-12-04T22:16:39
7.64,79.296,3000,526,12.69,2025-12-04T22:16:50
7.63,92.544,3000,525,12.63,2025-12-04T22:17:00
7.63,79.44,3000,525,12.63,2025-12-04T22:17:10
7.63,79.296,3000,526,12.69,2025-12-04T22:17:20
7.64,79.44,3000,524,12.63,2025-12-04T22:17:30
7.64,79.44,3000,526,12.63,2025-12-04T22:17:40
7.64,92.544,3000,526,12.63,2025-12-04T22:17:51
7.64,79.44,3000,526,12.63,2025-12-04T22:18:01
7.64,79.44,3000,526,12.63,2025-12-04T22:18:11
7.64,79.44,3000,525,12.63,2025-12-04T22:18:21
7.64,79.44,3000,526,12.63,2025-12-04T22:18:31
7.64,92.352,3000,526,12.69,2025-12-04T22:18:42
7.64,92.544,3000,525,12.63,2025-12-04T22:18:52
7.63,79.44,3000,526,12.63,2025-12-04T22:19:02
7.64,79.44,3000,526,12.63,2025-12-04T22:19:12
7.64,79.44,3000,525,12.63,2025-12-04T22:19:22
7.64,79.44,3000,525,12.63,2025-12-04T22:19:33
7.64,79.44,3000,523,12.63,2025-12-04T22:19:43
7.64,79.44,3000,526,12.63,2025-12-04T22:19:53
7.64,79.44,3000,526,12.63,2025-12-04T22:20:03
7.64,79.296,3000,526,12.69,2025-12-04T22:20:13
7.64,79.44,3000,526,12.63,2025-12-04T22:20:24
7.64,79.296,3000,526,12.69,2025-12-04T22:20:34
7.65,79.44,3000,526,12.63,2025-12-04T22:20:44
7.64,79.44,3000,526,12.63,2025-12-04T22:20:54
7.64,79.44,3000,527,12.63,2025-12-04T22:21:04
7.64,79.296,3000,527,12.69,2025-12-04T22:21:15
7.64,79.44,3000,526,12.63,2025-12-04T22:21:25
7.64,79.44,3000,526,12.63,2025-12-04T22:21:35
7.64,79.44,3000,526,12.63,2025-12-04T22:21:45
7.64,79.44,3000,527,12.63,2025-12-04T22:21:55
7.64,79.296,3000,526,12.69,2025-12-04T22:22:06
7.64,79.296,3000,526,12.69,2025-12-04T22:22:16
7.64,79.296,3000,525,12.69,2025-12-04T22:22:26
7.63,92.544,3000,526,12.63,2025-12-04T22:22:36
7.64,79.296,3000,527,12.69,2025-12-04T22:22:46
7.64,79.44,3000,526,12.63,2025-12-04T22:22:56
7.64,79.296,3000,526,12.69,2025-12-04T22:23:07
7.63,79.44,3000,526,12.63,2025-12-04T22:23:17
7.63,79.44,3000,526,12.63,2025-12-04T22:23:27
7.62,79.296,3000,526,12.69,2025-12-04T22:23:37
7.62,79.44,3000,527,12.63,2025-12-04T22:23:47
7.62,79.44,3000,526,12.63,2025-12-04T22:23:58
7.62,79.296,3000,527,12.69,2025-12-04T22:24:08
7.62,79.296,3000,528,12.69,2025-12-04T22:24:18
7.63,79.296,3000,527,12.69,2025-12-04T22:24:28
7.63,79.296,3000,526,12.69,2025-12-04T22:24:38
7.63,79.44,3000,526,12.63,2025-12-04T22:24:49
7.63,92.544,3000,526,12.63,2025-12-04T22:24:59
7.64,79.44,3000,525,12.63,2025-12-04T22:25:09
7.64,79.296,3000,526,12.69,2025-12-04T22:25:19
7.64,79.44,3000,524,12.63,2025-12-04T22:25:29
7.64,79.44,3000,524,12.63,2025-12-04T22:25:40
7.64,79.44,3000,526,12.63,2025-12-04T22:25:50
7.65,79.44,3000,526,12.63,2025-12-04T22:26:00
7.64,79.44,3000,526,12.63,2025-12-04T22:26:10
7.64,79.44,3000,526,12.63,2025-12-04T22:26:20
7.64,79.44,3000,526,12.63,2025-12-04T22:26:31
7.64,79.44,3000,527,12.63,2025-12-04T22:26:41
7.64,79.44,3000,527,12.63,2025-12-04T22:26:51
7.65,79.296,3000,526,12.69,2025-12-04T22:27:01
7.64,79.296,3000,526,12.69,2025-12-04T22:27:11
7.64,79.296,3000,526,12.69,2025-12-04T22:27:21
7.64,79.296,3000,526,12.69,2025-12-04T22:27:32
7.64,79.44,3000,527,12.63,2025-12-04T22:27:42
7.64,79.44,3000,526,12.63,2025-12-04T22:27:52
7.65,79.44,3000,526,12.63,2025-12-04T22:28:02
7.65,79.44,3000,526,12.63,2025-12-04T22:28:12
