pH,conductivity,turbidity,temperature,time
7.66,19.44,487,12.31,2025-12-04T17:20:03
7.66,16.69,487,12.31,2025-12-04T17:20:13
7.67,19.44,486,12.31,2025-12-04T17:20:24
7.67,19.44,484,12.31,2025-12-04T17:20:34
7.68,19.44,487,12.31,2025-12-04T17:20:44
7.68,16.69,488,12.31,2025-12-04T17:20:54
7.68,19.44,486,12.31,2025-12-04T17:21:04
7.68,19.44,486,12.31,2025-12-04T17:21:15
7.68,16.69,487,12.31,2025-12-04T17:21:25
7.68,19.44,487,12.31,2025-12-04T17:21:35
7.68,19.47,488,12.25,2025-12-04T17:21:45
7.68,19.44,488,12.31,2025-12-04T17:21:55
7.68,19.44,486,12.31,2025-12-04T17:22:06
7.68,19.44,487,12.31,2025-12-04T17:22:16
7.68,19.44,487,12.31,2025-12-04T17:22:26
7.68,19.44,486,12.31,2025-12-04T17:22:36
7.69,19.44,486,12.31,2025-12-04T17:22:46
7.68,19.44,489,12.31,2025-12-04T17:22:57
7.69,19.44,485,12.31,2025-12-04T17:23:07
7.69,16.69,487,12.31,2025-12-04T17:23:17
7.69,19.44,488,12.31,2025-12-04T17:23:27
7.69,19.44,487,12.31,2025-12-04T17:23:37
7.69,16.69,487,12.31,2025-12-04T17:23:47
7.69,19.44,487,12.31,2025-12-04T17:23:58
7.7,19.44,486,12.31,2025-12-04T17:24:08
7.69,19.44,486,12.31,2025-12-04T17:24:18
7.69,19.44,488,12.31,2025-12-04T17:24:28
7.69,16.69,487,12.31,2025-12-04T17:24:38
7.69,19.44,487,12.31,2025-12-04T17:24:49
7.69,19.44,487,12.31,2025-12-04T17:24:59
7.69,19.44,487,12.31,2025-12-04T17:25:09
7.69,19.44,486,12.31,2025-12-04T17:25:19
7.68,19.44,487,12.31,2025-12-04T17:25:29
7.68,19.41,486,12.38,2025-12-04T17:25:40
7.68,19.44,487,12.31,2025-12-04T17:25:50
7.68,19.44,489,12.31,2025-12-04T17:26:00
7.68,16.69,485,12.31,2025-12-04T17:26:10
7.68,16.69,487,12.31,2025-12-04T17:26:20
7.68,19.44,486,12.31,2025-12-04T17:26:31
7.68,19.41,487,12.38,2025-12-04T17:26:41
7.68,16.69,487,12.31,2025-12-04T17:26:51
7.68,19.44,487,12.31,2025-12-04T17:27:01
7.68,19.44,487,12.31,2025-12-04T17:27:11
7.68,19.44,487,12.31,2025-12-04T17:27:21
7.68,19.44,487,12.31,2025-12-04T17:27:32
7.69,19.44,484,12.31,2025-12-04T17:27:42
7.7,19.44,487,12.31,2025-12-04T17:27:52
7.69,19.44,487,12.31,2025-12-04T17:28:02
7.69,19.44,488,12.31,2025-12-04T17:28:12
7.69,19.44,486,12.31,2025-12-04T17:28:23
7.69,16.69,488,12.31,2025-12-04T17:28:33
7.69,16.69,488,12.31,2025-12-04T17:28:43
7.69,19.44,488,12.31,2025-12-04T17:28:53
7.69,19.44,487,12.31,2025-12-04T17:29:03
7.69,19.44,487,12.31,2025-12-04T17:29:14
7.69,19.41,488,12.38,2025-12-04T17:29:24
7.69,16.69,486,12.31,2025-12-04T17:29:34
7.69,19.41,488,12.38,2025-12-04T17:29:44
7.68,19.44,488,12.31,2025-12-04T17:29:54
7.69,16.66,486,12.38,2025-12-04T17:30:05
7.69,16.69,488,12.31,2025-12-04T17:30:15
7.69,19.44,488,12.31,2025-12-04T17:30:25
7.69,19.41,487,12.38,2025-12-04T17:30:35
7.69,16.69,488,12.31,2025-12-04T17:30:45
7.69,16.69,488,12.31,2025-12-04T17:30:55
7.69,19.44,488,12.31,2025-12-04T17:31:06
7.69,16.66,488,12.38,2025-12-04T17:31:16
7.69,16.69,488,12.31,2025-12-04T17:31:26
7.69,16.69,488,12.31,2025-12-04T17:31:36
7.69,19.44,487,12.31,2025-12-04T17:31:46
7.69,19.41,489,12.38,2025-12-04T17:31:57
7.69,19.44,487,12.31,2025-12-04T17:32:07
7.69,16.69,488,12.31,2025-12-04T17:32:17
7.69,16.69,488,12.31,2025-12-04T17:32:27
7.7,19.44,489,12.31,2025-12-04T17:32:37
7.7,19.44,489,12.31,2025-12-04T17:32:48
7.7,16.69,489,12.31,2025-12-04T17:32:58
7.7,16.69,488,12.31,2025-12-04T17:33:08
7.69,19.44,488,12.31,2025-12-04T17:33:18
7.69,19.44,488,12.31,2025-12-04T17:33:28
7.7,19.44,487,12.31,2025-12-04T17:33:39
7.7,16.69,489,12.31,2025-12-04T17:33:49
7.7,19.44,489,12.31,2025-12-04T17:33:59
7.7,16.69,489,12.31,2025-12-04T17:34:09
7.7,19.41,488,12.38,2025-12-04T17:34:19
7.7,19.44,489,12.31,2025-12-04T17:34:29
7.7,19.44,489,12.31,2025-12-04T17:34:40
7.7,19.44,488,12.31,2025-12-04T17:34:50
7.7,19.44,489,12.31,2025-12-04T17:35:00
7.7,19.44,489,12.31,2025-12-04T17:35:10
7.7,19.44,490,12.31,2025-12-04T17:35:20
7.7,16.69,491,12.31,2025-12-04T17:35:31
7.7,16.69,489,12.31,2025-12-04T17:35:41
7.7,19.44,489,12.31,2025-12-04T17:35:51
7.7,19.44,488,12.31,2025-12-04T17:36:01
7.7,16.69,489,12.31,2025-12-04T17:36:11
7.7,19.44,490,12.31,2025-12-04T17:36:22
7.7,16.69,489,12.31,2025-12-04T17:36:32
7.7,16.69,489,12.31,2025-12-04T17:36:42
7.7,16.69,489,12.31,2025-12-04T17:36:52
7.71,19.44,489,12.31,2025-12-04T17:37:02
7.71,16.69,489,12.31,2025-12-04T17:37:13
7.72,19.44,489,12.31,2025-12-04T17:37:23
7.72,19.44,489,12.31,2025-12-04T17:37:33
7.72,19.41,489,12.38,2025-12-04T17:37:43
7.72,16.69,489,12.31,2025-12-04T17:37:53
7.71,16.69,489,12.31,2025-12-04T17:38:03
7.72,16.69,489,12.31,2025-12-04T17:38:14
7.72,19.44,490,12.31,2025-12-04T17:38:24
7.72,19.44,489,12.31,2025-12-04T17:38:34
7.72,19.44,489,12.31,2025-12-04T17:38:44
7.72,16.66,490,12.38,2025-12-04T17:38:54
7.72,16.69,489,12.31,2025-12-04T17:39:05
7.71,19.44,489,12.31,2025-12-04T17:39:15
7.71,16.69,489,12.31,2025-12-04T17:39:25
7.71,16.66,489,12.38,2025-12-04T17:39:35
7.71,16.69,490,12.31,2025-12-04T17:39:45
7.71,16.66,489,12.38,2025-12-04T17:39:56
7.7,16.66,486,12.38,2025-12-04T17:40:06
7.71,16.69,490,12.31,2025-12-04T17:40:16
7.71,16.69,489,12.31,2025-12-04T17:40:26
7.71,16.69,490,12.31,2025-12-04T17:40:36
7.71,16.69,489,12.31,2025-12-04T17:40:47
7.71,16.69,489,12.31,2025-12-04T17:40:57
7.71,19.44,487,12.31,2025-12-04T17:41:07
7.72,16.66,488,12.38,2025-12-04T17:41:17
7.71,16.66,489,12.38,2025-12-04T17:41:27
7.72,19.41,491,12.38,2025-12-04T17:41:38
7.72,16.69,490,12.31,2025-12-04T17:41:48
7.72,19.41,490,12.38,2025-12-04T17:41:58
7.72,19.44,490,12.31,2025-12-04T17:42:08
7.72,19.44,490,12.31,2025-12-04T17:42:18
7.72,19.44,491,12.31,2025-12-04T17:42:28
7.72,16.69,490,12.31,2025-12-04T17:42:39
7.72,19.44,491,12.31,2025-12-04T17:42:49
7.72,16.69,491,12.31,2025-12-04T17:42:59
7.71,16.66,490,12.38,2025-12-04T17:43:09
7.71,16.66,490,12.38,2025-12-04T17:43:19
7.71,16.69,490,12.31,2025-12-04T17:43:30
7.71,16.66,489,12.38,2025-12-04T17:43:40
7.7,16.69,491,12.31,2025-12-04T17:43:50
7.69,16.66,490,12.38,2025-12-04T17:44:00
7.69,16.66,492,12.38,2025-12-04T17:44:10
7.7,19.41,491,12.38,2025-12-04T17:44:21
7.71,16.69,491,12.31,2025-12-04T17:44:31
7.71,16.69,491,12.31,2025-12-04T17:44:41
7.71,16.66,491,12.38,2025-12-04T17:44:51
7.71,16.69,490,12.31,2025-12-04T17:45:01
7.71,16.69,491,12.31,2025-12-04T17:45:11
7.71,16.69,491,12.31,2025-12-04T17:45:22
7.71,19.44,491,12.31,2025-12-04T17:45:32
7.71,16.69,491,12.31,2025-12-04T17:45:42
7.71,16.69,491,12.31,2025-12-04T17:45:52
7.72,16.69,491,12.31,2025-12-04T17:46:02
7.72,19.44,491,12.31,2025-12-04T17:46:13
7.72,19.44,492,12.31,2025-12-04T17:46:23
7.72,19.44,491,12.31,2025-12-04T17:46:33
7.72,16.69,491,12.31,2025-12-04T17:46:43
7.72,16.69,491,12.31,2025-12-04T17:46:53
7.72,16.69,491,12.31,2025-12-04T17:47:04
7.72,19.44,491,12.31,2025-12-04T17:47:14
7.71,16.69,491,12.31,2025-12-04T17:47:24
7.72,16.69,490,12.31,2025-12-04T17:47:34
7.72,16.69,491,12.31,2025-12-04T17:47:44
7.71,16.66,491,12.38,2025-12-04T17:47:55
7.71,16.69,488,12.31,2025-12-04T17:48:05
7.71,16.66,491,12.38,2025-12-04T17:48:15
7.71,16.69,491,12.31,2025-12-04T17:48:25
7.71,16.66,491,12.38,2025-12-04T17:48:35
7.71,19.44,492,12.31,2025-12-04T17:48:45
7.7,19.41,491,12.38,2025-12-04T17:48:56
7.71,16.66,492,12.38,2025-12-04T17:49:06
7.71,16.69,491,12.31,2025-12-04T17:49:16
7.71,16.66,488,12.38,2025-12-04T17:49:26
7.71,16.66,492,12.38,2025-12-04T17:49:36
7.71,16.69,491,12.31,2025-12-04T17:49:47
7.71,16.69,492,12.31,2025-12-04T17:49:57
7.72,16.69,492,12.31,2025-12-04T17:50:07
7.71,16.69,490,12.31,2025-12-04T17:50:17
7.72,16.69,491,12.31,2025-12-04T17:50:27
7.71,16.66,491,12.38,2025-12-04T17:50:38
7.71,16.69,490,12.31,2025-12-04T17:50:48
7.71,16.69,491,12.31,2025-12-04T17:50:58
7.71,16.69,491,12.31,2025-12-04T17:51:08
7.71,16.66,491,12.38,2025-12-04T17:51:18
7.72,16.69,492,12.31,2025-12-04T17:51:29
7.71,16.66,491,12.38,2025-12-04T17:51:39
7.72,16.66,491,12.38,2025-12-04T17:51:49
7.71,16.69,492,12.31,2025-12-04T17:51:59
7.71,16.66,493,12.38,2025-12-04T17:52:09
7.71,16.69,492,12.31,2025-12-04T17:52:19
7.71,16.66,492,12.38,2025-12-04T17:52:30
7.71,16.66,491,12.38,2025-12-04T17:52:40
7.71,16.66,492,12.38,2025-12-04T17:52:50
7.71,16.66,491,12.38,2025-12-04T17:53:00
7.71,16.69,492,12.31,2025-12-04T17:53:10
7.71,16.66,491,12.38,2025-12-04T17:53:21
7.71,16.69,492,12.31,2025-12-04T17:53:31
7.71,16.69,491,12.31,2025-12-04T17:53:41
7.71,16.69,492,12.31,2025-12-04T17:53:51
7.71,16.69,491,12.31,2025-12-04T17:54:01
7.71,16.66,491,12.38,2025-12-04T17:54:12
7.71,16.69,492,12.31,2025-12-04T17:54:22
7.71,16.66,492,12.38,2025-12-04T17:54:32
7.71,16.66,492,12.38,2025-12-04T17:54:42
7.71,16.66,492,12.38,2025-12-04T17:54:52
7.71,16.69,491,12.31,2025-12-04T17:55:03
7.71,16.66,492,12.38,2025-12-04T17:55:13
7.71,16.66,492,12.38,2025-12-04T17:55:23
7.71,16.66,492,12.38,2025-12-04T17:55:33
7.71,16.69,492,12.31,2025-12-04T17:55:43
7.7,16.69,492,12.31,2025-12-04T17:55:53
7.7,16.66,492,12.38,2025-12-04T17:56:04
7.7,16.66,492,12.38,2025-12-04T17:56:14
7.71,16.66,493,12.38,2025-12-04T17:56:24
7.7,16.66,493,12.38,2025-12-04T17:56:34
7.7,16.66,493,12.38,2025-12-04T17:56:44
7.7,16.66,494,12.38,2025-12-04T17:56:55
7.69,16.66,492,12.38,2025-12-04T17:57:05
7.7,16.66,493,12.38,2025-12-04T17:57:15
7.69,16.66,492,12.38,2025-12-04T17:57:25
7.7,16.66,493,12.38,2025-12-04T17:57:35
7.7,16.66,494,12.38,2025-12-04T17:57:46
7.7,16.66,496,12.38,2025-12-04T17:57:56
7.7,16.66,492,12.38,2025-12-04T17:58:06
7.7,16.66,493,12.38,2025-12-04T17:58:16
7.7,16.66,493,12.38,2025-12-04T17:58:26
7.7,16.66,493,12.38,2025-12-04T17:58:37
7.71,16.69,492,12.31,2025-12-04T17:58:47
7.71,16.66,493,12.38,2025-12-04T17:58:57
7.71,16.69,493,12.31,2025-12-04T17:59:07
7.71,16.69,494,12.31,2025-12-04T17:59:17
7.71,16.66,493,12.38,2025-12-04T17:59:27
7.71,16.69,493,12.31,2025-12-04T17:59:38
7.72,16.69,493,12.31,2025-12-04T17:59:48
7.72,16.69,493,12.31,2025-12-04T17:59:58
7.72,16.66,493,12.38,2025-12-04T18:00:08
7.72,16.66,494,12.38,2025-12-04T18:00:18
7.72,16.66,493,12.38,2025-12-04T18:00:29
7.72,16.66,495,12.38,2025-12-04T18:00:39
7.71,16.66,493,12.38,2025-12-04T18:00:49
7.71,16.66,493,12.38,2025-12-04T18:00:59
7.71,16.66,494,12.38,2025-12-04T18:01:09
7.71,16.69,493,12.31,2025-12-04T18:01:20
7.71,16.69,493,12.31,2025-12-04T18:01:30
7.71,16.66,492,12.38,2025-12-04T18:01:40
7.7,16.66,494,12.38,2025-12-04T18:01:50
7.7,16.66,494,12.38,2025-12-04T18:02:00
7.7,16.66,495,12.38,2025-12-04T18:02:10
7.71,16.66,495,12.38,2025-12-04T18:02:21
7.7,16.66,494,12.38,2025-12-04T18:02:31
7.71,16.66,494,12.38,2025-12-04T18:02:41
7.7,16.66,494,12.38,2025-12-04T18:02:51
7.7,16.66,496,12.38,2025-12-04T18:03:01
7.7,16.66,495,12.38,2025-12-04T18:03:12
7.7,16.66,494,12.38,2025-12-04T18:03:22
7.7,16.66,494,12.38,2025-12-04T18:03:32
7.7,16.66,495,12.38,2025-12-04T18:03:42
7.7,16.69,493,12.31,2025-12-04T18:03:52
7.71,16.66,494,12.38,2025-12-04T18:04:03
7.71,16.69,494,12.31,2025-12-04T18:04:13
7.71,16.66,494,12.38,2025-12-04T18:04:23
7.71,16.66,495,12.38,2025-12-04T18:04:33
7.71,16.66,495,12.38,2025-12-04T18:04:43
7.71,16.66,495,12.38,2025-12-04T18:04:54
7.71,16.66,495,12.38,2025-12-04T18:05:04
7.71,16.66,494,12.38,2025-12-04T18:05:14
7.71,16.66,495,12.38,2025-12-04T18:05:24
7.71,16.66,496,12.38,2025-12-04T18:05:34
7.71,16.66,496,12.38,2025-12-04T18:05:44
7.71,16.66,495,12.38,2025-12-04T18:05:55
7.71,16.66,494,12.38,2025-12-04T18:06:05
7.71,16.66,494,12.38,2025-12-04T18:06:15
7.71,16.66,496,12.38,2025-12-04T18:06:25
7.7,16.66,495,12.38,2025-12-04T18:06:35
7.7,16.66,495,12.38,2025-12-04T18:06:46
7.7,16.66,494,12.38,2025-12-04T18:06:56
7.71,16.66,494,12.38,2025-12-04T18:07:06
7.7,16.66,495,12.38,2025-12-04T18:07:16
7.7,16.66,494,12.38,2025-12-04T18:07:26
7.7,16.66,496,12.38,2025-12-04T18:07:37
7.7,16.66,491,12.38,2025-12-04T18:07:47
7.71,16.66,496,12.38,2025-12-04T18:07:57
7.7,16.66,494,12.38,2025-12-04T18:08:07
7.7,16.66,495,12.38,2025-12-04T18:08:17
7.7,16.66,496,12.38,2025-12-04T18:08:28
7.7,16.66,495,12.38,2025-12-04T18:08:38
7.71,16.66,495,12.38,2025-12-04T18:08:48
7.7,16.66,495,12.38,2025-12-04T18:08:58
7.71,16.66,495,12.38,2025-12-04T18:09:08
7.71,16.66,497,12.38,2025-12-04T18:09:18
7.7,16.66,495,12.38,2025-12-04T18:09:29
7.7,16.66,495,12.38,2025-12-04T18:09:39
7.71,16.66,496,12.38,2025-12-04T18:09:49
7.71,16.66,495,12.38,2025-12-04T18:09:59
7.71,16.66,495,12.38,2025-12-04T18:10:09
7.71,16.66,495,12.38,2025-12-04T18:10:20
7.71,16.66,496,12.38,2025-12-04T18:10:30
7.71,16.66,496,12.38,2025-12-04T18:10:40
7.7,16.66,493,12.38,2025-12-04T18:10:50
7.7,16.66,496,12.38,2025-12-04T18:11:00
7.7,16.66,496,12.38,2025-12-04T18:11:11
7.7,16.66,495,12.38,2025-12-04T18:11:21
7.7,16.66,495,12.38,2025-12-04T18:11:31
7.7,16.66,496,12.38,2025-12-04T18:11:41
7.7,16.66,495,12.38,2025-12-04T18:11:51
7.7,16.66,496,12.38,2025-12-04T18:12:02
7.69,16.66,496,12.38,2025-12-04T18:12:12
7.7,16.66,496,12.38,2025-12-04T18:12:22
7.7,16.66,495,12.38,2025-12-04T18:12:32
7.69,16.66,495,12.38,2025-12-04T18:12:42
7.69,16.66,497,12.38,2025-12-04T18:12:53
7.7,16.66,497,12.38,2025-12-04T18:13:03
7.69,16.66,497,12.38,2025-12-04T18:13:13
7.7,16.66,495,12.38,2025-12-04T18:13:23
7.7,16.66,497,12.38,2025-12-04T18:13:33
7.7,16.66,497,12.38,2025-12-04T18:13:43
7.7,16.66,496,12.38,2025-12-04T18:13:54
7.7,16.66,496,12.38,2025-12-04T18:14:04
7.71,16.66,496,12.38,2025-12-04T18:14:14
7.7,16.66,496,12.38,2025-12-04T18:14:24
7.7,16.66,498,12.38,2025-12-04T18:14:34
7.71,16.66,496,12.38,2025-12-04T18:14:45
7.7,16.66,498,12.38,2025-12-04T18:14:55
7.7,16.66,498,12.38,2025-12-04T18:15:05
7.7,16.66,497,12.38,2025-12-04T18:15:15
7.7,16.66,498,12.38,2025-12-04T18:15:25
7.7,16.66,497,12.38,2025-12-04T18:15:36
7.7,16.66,498,12.38,2025-12-04T18:15:46
7.71,16.66,497,12.38,2025-12-04T18:15:56
7.71,16.66,497,12.38,2025-12-04T18:16:06
7.71,16.66,497,12.38,2025-12-04T18:16:16
7.71,16.66,497,12.38,2025-12-04T18:16:27
7.71,16.66,497,12.38,2025-12-04T18:16:37
7.7,16.66,498,12.38,2025-12-04T18:16:47
7.7,16.66,497,12.38,2025-12-04T18:16:57
7.7,16.66,497,12.38,2025-12-04T18:17:07
7.7,16.66,497,12.38,2025-12-04T18:17:17
7.7,16.66,498,12.38,2025-12-04T18:17:28
7.7,16.66,496,12.38,2025-12-04T18:17:38
7.71,16.66,498,12.38,2025-12-04T18:17:48
7.7,16.66,498,12.38,2025-12-04T18:17:58
7.7,16.66,498,12.38,2025-12-04T18:18:08
7.71,16.66,498,12.38,2025-12-04T18:18:19
7.7,16.66,497,12.38,2025-12-04T18:18:29
7.7,16.66,497,12.38,2025-12-04T18:18:39
7.7,16.66,499,12.38,2025-12-04T18:18:49
7.7,16.66,498,12.38,2025-12-04T18:18:59
7.7,16.66,499,12.38,2025-12-04T18:19:10
7.69,16.66,498,12.38,2025-12-04T18:19:20
7.69,16.66,499,12.38,2025-12-04T18:19:30
7.7,16.66,498,12.38,2025-12-04T18:19:40
7.7,16.66,500,12.38,2025-12-04T18:19:50
7.7,16.66,497,12.38,2025-12-04T18:20:01
7.7,16.66,498,12.38,2025-12-04T18:20:11
7.7,16.66,499,12.38,2025-12-04T18:20:21
7.7,16.66,499,12.38,2025-12-04T18:20:31
7.7,16.66,497,12.38,2025-12-04T18:20:41
7.7,16.66,499,12.38,2025-12-04T18:20:52
7.7,16.66,500,12.38,2025-12-04T18:21:02
7.7,16.66,500,12.38,2025-12-04T18:21:12
7.7,16.66,498,12.38,2025-12-04T18:21:22
7.7,16.66,498,12.38,2025-12-04T18:21:32
7.7,16.66,499,12.38,2025-12-04T18:21:42
7.69,16.66,499,12.38,2025-12-04T18:21:53
7.69,16.66,499,12.38,2025-12-04T18:22:03
7.69,16.66,500,12.38,2025-12-04T18:22:13
7.69,16.66,500,12.38,2025-12-04T18:22:23
7.7,16.66,500,12.38,2025-12-04T18:22:33
7.7,16.66,499,12.38,2025-12-04T18:22:44
7.7,16.66,500,12.38,2025-12-04T18:22:54
7.71,16.66,499,12.38,2025-12-04T18:23:04
7.7,16.66,500,12.38,2025-12-04T18:23:14
7.7,16.66,500,12.38,2025-12-04T18:23:24
7.7,16.66,500,12.38,2025-12-04T18:23:35
7.7,16.66,500,12.38,2025-12-04T18:23:45
7.7,16.66,499,12.38,2025-12-04T18:23:55
7.7,16.63,500,12.44,2025-12-04T18:24:05
7.7,16.66,499,12.38,2025-12-04T18:24:15
7.7,16.66,499,12.38,2025-12-04T18:24:26
7.7,16.66,500,12.38,2025-12-04T18:24:36
7.7,16.66,500,12.38,2025-12-04T18:24:46
7.7,16.63,500,12.44,2025-12-04T18:24:56
7.7,16.66,500,12.38,2025-12-04T18:25:06
7.7,16.66,500,12.38,2025-12-04T18:25:17
7.7,16.66,497,12.38,2025-12-04T18:25:27
7.7,16.66,498,12.38,2025-12-04T18:25:37
7.7,16.63,500,12.44,2025-12-04T18:25:47
7.69,16.66,500,12.38,2025-12-04T18:25:57
7.69,16.66,500,12.38,2025-12-04T18:26:07
7.69,16.66,500,12.38,2025-12-04T18:26:18
7.69,16.66,500,12.38,2025-12-04T18:26:28
7.69,16.66,500,12.38,2025-12-04T18:26:38
7.69,16.66,501,12.38,2025-12-04T18:26:48
7.69,16.66,500,12.38,2025-12-04T18:26:58
7.69,16.63,501,12.44,2025-12-04T18:27:09
7.7,16.66,500,12.38,2025-12-04T18:27:19
7.69,16.66,501,12.38,2025-12-04T18:27:29
7.7,16.66,501,12.38,2025-12-04T18:27:39
7.7,16.66,501,12.38,2025-12-04T18:27:49
7.7,16.66,501,12.38,2025-12-04T18:28:00
7.7,16.66,501,12.38,2025-12-04T18:28:10
7.7,16.66,501,12.38,2025-12-04T18:28:20
7.7,16.66,501,12.38,2025-12-04T18:28:30
7.7,16.66,501,12.38,2025-12-04T18:28:40
7.7,16.63,501,12.44,2025-12-04T18:28:51
7.7,16.66,501,12.38,2025-12-04T18:29:01
7.69,16.63,500,12.44,2025-12-04T18:29:11
7.7,16.66,500,12.38,2025-12-04T18:29:21
7.7,16.66,501,12.38,2025-12-04T18:29:31
7.69,16.63,501,12.44,2025-12-04T18:29:42
7.7,16.63,501,12.44,2025-12-04T18:29:52
7.69,16.66,501,12.38,2025-12-04T18:30:02
7.69,16.63,501,12.44,2025-12-04T18:30:12
7.7,16.66,501,12.38,2025-12-04T18:30:22
7.69,16.63,503,12.44,2025-12-04T18:30:32
7.69,16.66,502,12.38,2025-12-04T18:30:43
7.69,16.63,502,12.44,2025-12-04T18:30:53
7.7,16.63,500,12.44,2025-12-04T18:31:03
7.7,16.66,502,12.38,2025-12-04T18:31:13
7.7,16.63,501,12.44,2025-12-04T18:31:23
7.69,16.63,500,12.44,2025-12-04T18:31:34
7.69,16.66,501,12.38,2025-12-04T18:31:44
7.7,16.66,501,12.38,2025-12-04T18:31:54
7.7,16.66,502,12.38,2025-12-04T18:32:04
7.7,16.66,501,12.38,2025-12-04T18:32:14
